room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
2,2016/01/05 12:33:39,2016/01/05 12:33:58,530.29975,39.2045209358,327.51,534.3075,597.105,3,269.595,509.65575,44.6800107702,383.175,521.3925,573.48,3,190.305
2,2016/01/05 12:33:58,2016/01/05 12:34:16,530.20825,104.021705664,419.805,511.0425,714.825,3,295.02,530.29975,39.2045209358,327.51,534.3075,597.105,3,269.595
2,2016/01/05 12:34:16,2016/01/05 12:34:34,510.51625,47.5191372677,461.97,496.3275,665.415,3,203.445,530.20825,104.021705664,419.805,511.0425,714.825,3,295.02
2,2016/01/05 12:34:34,2016/01/05 12:34:52,486.764,8.02438724231,472.545,485.0775,509.67,3,37.125,510.51625,47.5191372677,461.97,496.3275,665.415,3,203.445
2,2016/01/05 12:34:52,2016/01/05 12:35:11,498.9495,29.7537202458,474.795,489.735,634.32,3,159.525,486.764,8.02438724231,472.545,485.0775,509.67,3,37.125
2,2016/01/05 12:35:11,2016/01/05 12:35:29,534.94675,16.1815968775,497.295,532.4625,578.205,3,80.91,498.9495,29.7537202458,474.795,489.735,634.32,3,159.525
2,2016/01/05 12:35:29,2016/01/05 12:35:47,534.7705,25.4868082654,422.685,527.445,613.62,3,190.935,534.94675,16.1815968775,497.295,532.4625,578.205,3,80.91
2,2016/01/05 12:35:47,2016/01/05 12:36:05,601.21775,5.98087982998,588.15,600.0975,614.79,3,26.64,534.7705,25.4868082654,422.685,527.445,613.62,3,190.935
2,2016/01/05 12:36:05,2016/01/05 12:36:23,590.40775,6.85567420404,577.845,590.49,608.085,3,30.24,601.21775,5.98087982998,588.15,600.0975,614.79,3,26.64
2,2016/01/05 12:36:23,2016/01/05 12:36:42,588.465,4.28408957232,579.87,587.6325,600.165,3,20.295,590.40775,6.85567420404,577.845,590.49,608.085,3,30.24
2,2016/01/05 12:36:42,2016/01/05 12:37:00,580.35025,4.22534347138,563.49,579.24,596.88,3,33.39,588.465,4.28408957232,579.87,587.6325,600.165,3,20.295
2,2016/01/05 12:37:00,2016/01/05 12:37:18,578.90825,4.3324315645,569.43,578.025,597.51,3,28.08,580.35025,4.22534347138,563.49,579.24,596.88,3,33.39
